Auction number	PartNumber	Condition	Description	Quantity in stock	Quantity sold	Price	Shipping cost	Picture link
								
								
mem-store															
								
201206716321		New	098N02195 256MB DRAM 100pin Memory for Xerox Phaser 3250/DN	10	0	49.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/llkAAOxy4YdTTd9o/$_1.JPG?set_id=880000500F
201206725629		New	57X9016 1GB PC3-6400 Memory Lexmark Printer CS310 CS410 CS510 M1145 M3150 M5163	10	0	49.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/llkAAOxy4YdTTd9o/$_1.JPG?set_id=880000500F
191396249438		New	57X9016 1GB PC3-6400 Memory Lexmark Printer XC2132 XM1145 XM3150 XM51XX XM71XX	10	0	49.0 USD		http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/llkAAOxy4YdTTd9o/$_1.JPG?set_id=880000500F
201206739605		New	S26361-F4523-L947 64GB 4x16GB PC3-12800R Memory FUJITSU PRIMERGY RX900 S2  New	10	0	1080.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/uOwAAOSwr81UUrF6/$_1.JPG?set_id=880000500F
201212086192		Used	UCS-MR-1X162RZ-A 16GB PC3-14900R CISCO ORIG Memory UCS B200 M3; C220 M3; C240 M3	20	0	268.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/0MoAAOSwmUdUXAQi/$_1.JPG?set_id=880000500F
191404221006		Used	UCS-MR-1X162RY-A 16GB PC3-12800R Original Memory Cisco C220 M3 C240 M3	20	0	265.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/6EAAAOSwzOxUXAaY/$_1.JPG?set_id=880000500F
321576135427		Used	UCS-MKIT-164RX-D 32GB 2x16GB PC3L-10600R CISCO ORIGINAL Memory Cisco C230 M2	22	12	410.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/nFoAAOSwosFUXAmM/$_1.JPG?set_id=880000500F
321577415659		Used	 Thermolyne Type 2200 Hot Plate , Laboraroty Hotplate , Model No: HPA2235M	1	0	350.0 USD		http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/IK4AAOSw~1FUXXM8/$_1.JPG?set_id=880000500F
201217037127		New	4GB DDR3-1333 SODIMM Memory for  Lenovo ThinkPad  X201i ,  X220, X220 Tablet	40	27	31.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/$T2eC16dHJI!E9qSO9)YiBQOTmp5c)Q~~60_1.JPG?set_id=880000500F
321586994273		New	16GB 2X8GB DDR2-667 FDIMM Memory Dell PowerEdge 1950 1955 2900 2950	15	0	178.0 USD	49.99 USD	http://i.ebayimg.com/21/!BmlPO6Q!mk~$(KGrHqQH-CQEtbfLK17,BLgHUqykNg~~_1.JPG?set_id=8800005007
191420212926		New	1GB DDR333 PC2700 184pin Unbuffered Non-ECC Memory HP Compaq dc5000 series	77	3	13.0 USD	45.0 USD	http://i.ebayimg.com/00/s/MTIwMFgxNjAw/$T2eC16V,!)QE9s3HFdodBQO(Hd)jHw~~60_1.JPG?set_id=880000500F
